,Benign,No DDoS,DDoS icmp flood,DDoS UDP flood,DDoS TCP flood,DDoS PSHACK,DDoS Syn flood,DDoS RSTFIN flood,DDoS Synonymous ip flood,DDoS ICMP fragmentation,DDoS UDP fragmentation,DDoS ACK Fragmentation,Mirai,MITM,Reconnaissance,Vulnerability scan
Benign,121.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
No DDoS,9.000000,84.000000,0.000000,7.000000,10.000000,1.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS icmp flood,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS UDP flood,0.000000,0.000000,0.000000,124.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS TCP flood,0.000000,0.000000,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS PSHACK,0.000000,0.000000,0.000000,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS Syn flood,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS RSTFIN flood,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
DDoS Synonymous ip flood,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS ICMP fragmentation,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,122.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS UDP fragmentation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.000000,0.000000,0.000000,0.000000,1.000000,0.000000
DDoS ACK Fragmentation,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,122.000000,0.000000,0.000000,0.000000,0.000000
Mirai,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000
MITM,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.000000,17.000000,5.000000
Reconnaissance,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,95.000000,21.000000
Vulnerability scan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,47.000000,75.000000
